学历,问题,同意,反对,强烈同意,强烈反对
大学,如果人民没有受过民主教育，他们是不应该拥有普选权的。,44014,45593,10497,15391
大学, 人权高于主权。,46025,38519,20703,10248
大学, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,35411,47748,14275,18061
大学, 西方的多党制不适合中国国情。,39699,50743,8365,16688
大学, 在中国照搬西方式的言论自由会导致社会失序。,50984,35891,17101,11519
大学, 由高校自主考试招生比全国统一考试招生更好。,37959,45679,15933,15924
大学, 应该容许宗教人士在非宗教场所公开传教。,40807,48465,4595,21628
大学, 无论中小学生或大学生，都应参加由国家统一安排的军训。,43459,36287,14651,21098
大学, 国家的统一和领土完整是社会的最高利益。,39307,36720,28160,11308
大学, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,58129,42899,5544,8923
大学, 国家有义务进行对外援助。,49994,35077,15475,14949
大学, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,58991,31857,15771,8876
大学, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,39631,47606,11245,17013
大学, 应当允许媒体代表某一特定阶层或利益集团发言。,45477,39265,6690,24063
大学, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,44273,36240,25922,9060
大学, 条件允许的话应该武力统一台湾。,36251,51045,14998,13201
大学, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,40152,35203,22451,17689
大学, 应该允许中国公民同时具有外国国籍。,29760,64477,9022,12236
大学, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,21067,61514,10025,22889
大学, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,56039,19475,35582,4399
大学, 最低工资应由国家规定。,29423,50724,13050,22298
大学, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,58868,40469,8797,7361
大学, 在重大工程项目的决策中，个人利益应该为社会利益让路。,58952,36973,7641,11929
大学, 浪费粮食也是个人的自由。,26102,57612,7191,24590
大学, 如果猪肉价格过高，政府应当干预。,51042,32197,15717,16539
大学, 应当对国外同类产品征收高额关税来保护国内民族工业。,40643,48602,4641,21609
大学, 教育应当尽可能公立。,35339,59896,5702,14558
大学, 国有企业的利益属于国家利益。,55833,38779,15515,5368
大学, 试图控制房地产价格的行为会破坏经济发展。,24592,63781,5268,21854
大学, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,23851,50537,19432,21675
大学, 有钱人理应获得更好的医疗服务。,33250,60049,9523,12673
大学, 高收入者应该公开自己的经济来源。,30482,53437,17929,13647
大学, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,60070,31657,13506,10262
大学, 与其让国有企业亏损破产，不如转卖给资本家。,42804,42700,5642,24349
大学, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,75403,19758,16411,3923
大学, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,39053,54936,7810,13696
大学, 私人应当可以拥有和买卖土地。,48228,43490,17544,6233
大学, 政府应当采用较高的粮食收购价格以增加农民收入。,62195,30238,14679,8383
大学, 在华外国资本应享受和民族资本同样的待遇。,30689,53215,4706,26885
大学, 市场竞争中自然形成的垄断地位是无害的。,54776,40702,12199,7818
大学, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,51049,40345,8565,15536
大学, 不应公开谈论自己长辈的缺点。,39260,49503,17557,9175
大学, 现代中国社会需要儒家思想。,18464,66695,6964,23372
大学, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,63765,31312,10476,9942
大学, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,25560,66144,3177,20614
大学, 周易八卦能够有效的解释很多事情。,45509,41725,17483,10778
大学, 中国传统医学对人体健康的观念比现代主流医学更高明。,61436,36608,12209,5242
大学, 汉字无需人为推行简化。,26233,61234,5866,22162
大学, 应当将中国传统文化的经典作品作为儿童基础教育读物。,56472,45815,8542,4666
大学, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,54520,45661,9243,6071
初中及以下,如果人民没有受过民主教育，他们是不应该拥有普选权的。,1698,2025,581,1057
初中及以下, 人权高于主权。,2071,1370,1244,676
初中及以下, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1378,1944,930,1109
初中及以下, 西方的多党制不适合中国国情。,1593,2147,571,1050
初中及以下, 在中国照搬西方式的言论自由会导致社会失序。,1672,2078,614,997
初中及以下, 由高校自主考试招生比全国统一考试招生更好。,1660,1771,981,949
初中及以下, 应该容许宗教人士在非宗教场所公开传教。,1666,2121,333,1241
初中及以下, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1986,1425,1001,949
初中及以下, 国家的统一和领土完整是社会的最高利益。,1716,1319,1752,574
初中及以下, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,2715,1522,655,469
初中及以下, 国家有义务进行对外援助。,2363,1376,1013,609
初中及以下, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,2104,1586,762,909
初中及以下, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,2170,1452,1206,533
初中及以下, 应当允许媒体代表某一特定阶层或利益集团发言。,1711,1877,398,1375
初中及以下, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1822,1489,1504,546
初中及以下, 条件允许的话应该武力统一台湾。,1597,1981,1057,726
初中及以下, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,1794,1239,1404,924
初中及以下, 应该允许中国公民同时具有外国国籍。,846,2860,383,1272
初中及以下, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,1166,2413,883,899
初中及以下, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,2282,888,1813,378
初中及以下, 最低工资应由国家规定。,1430,2125,887,919
初中及以下, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,2408,1704,618,631
