性别,问题,同意,反对,强烈同意,强烈反对
,如果人民没有受过民主教育，他们是不应该拥有普选权的。,8177,8047,2185,2928
, 人权高于主权。,8523,6473,4264,2077
, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,6057,8765,2762,3753
, 西方的多党制不适合中国国情。,6856,9181,1777,3523
, 在中国照搬西方式的言论自由会导致社会失序。,7642,8141,2374,3180
, 由高校自主考试招生比全国统一考试招生更好。,6710,8326,3026,3275
, 应该容许宗教人士在非宗教场所公开传教。,7278,8910,1043,4106
, 无论中小学生或大学生，都应参加由国家统一安排的军训。,7920,6544,3034,3839
, 国家的统一和领土完整是社会的最高利益。,7076,6338,5871,2052
, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,11304,6857,1706,1470
, 国家有义务进行对外援助。,9747,5757,3584,2249
, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,9943,6045,2875,2474
, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,7963,7642,3187,2545
, 应当允许媒体代表某一特定阶层或利益集团发言。,7867,7323,1443,4704
, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,7434,6908,4924,2071
, 条件允许的话应该武力统一台湾。,6269,8994,3308,2766
, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,7569,5494,5121,3153
, 应该允许中国公民同时具有外国国籍。,4476,11989,1299,3573
, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,4486,10290,2617,3944
, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,10164,3666,6582,925
, 最低工资应由国家规定。,5350,9254,2596,4137
, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,9828,7696,1901,1912
, 在重大工程项目的决策中，个人利益应该为社会利益让路。,9906,7170,1431,2830
, 浪费粮食也是个人的自由。,4914,9722,1639,5062
, 如果猪肉价格过高，政府应当干预。,9760,4991,4192,2394
, 应当对国外同类产品征收高额关税来保护国内民族工业。,6601,9110,863,4763
, 教育应当尽可能公立。,6902,10896,1249,2290
, 国有企业的利益属于国家利益。,9541,7316,3135,1345
, 试图控制房地产价格的行为会破坏经济发展。,5469,10490,1434,3944
, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,4104,8640,3640,4953
, 有钱人理应获得更好的医疗服务。,5380,11096,1685,3176
, 高收入者应该公开自己的经济来源。,5898,9126,3801,2512
, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,10908,5281,3260,1888
, 与其让国有企业亏损破产，不如转卖给资本家。,6658,7934,1004,5741
, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,14176,2753,3860,548
, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,7032,9875,1810,2620
, 私人应当可以拥有和买卖土地。,8282,8958,2536,1561
, 政府应当采用较高的粮食收购价格以增加农民收入。,11803,5115,2922,1497
, 在华外国资本应享受和民族资本同样的待遇。,5038,9778,973,5548
, 市场竞争中自然形成的垄断地位是无害的。,8814,8263,2012,2248
, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7752,8108,1289,4188
, 不应公开谈论自己长辈的缺点。,7037,8601,3793,1906
, 现代中国社会需要儒家思想。,3323,11899,1629,4486
, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,10943,6045,2092,2257
, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,4814,11504,641,4378
, 周易八卦能够有效的解释很多事情。,8033,7455,3671,2178
, 中国传统医学对人体健康的观念比现代主流医学更高明。,10831,6948,2474,1084
, 汉字无需人为推行简化。,4778,11121,1385,4053
, 应当将中国传统文化的经典作品作为儿童基础教育读物。,10306,8484,1730,817
, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,10442,7843,1865,1187
NULL,如果人民没有受过民主教育，他们是不应该拥有普选权的。,8177,8047,2185,2928
NULL, 人权高于主权。,8523,6473,4264,2077
NULL, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,6057,8765,2762,3753
NULL, 西方的多党制不适合中国国情。,6856,9181,1777,3523
NULL, 在中国照搬西方式的言论自由会导致社会失序。,7642,8141,2374,3180
NULL, 由高校自主考试招生比全国统一考试招生更好。,6710,8326,3026,3275
NULL, 应该容许宗教人士在非宗教场所公开传教。,7278,8910,1043,4106
NULL, 无论中小学生或大学生，都应参加由国家统一安排的军训。,7920,6544,3034,3839
NULL, 国家的统一和领土完整是社会的最高利益。,7076,6338,5871,2052
NULL, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,11304,6857,1706,1470
NULL, 国家有义务进行对外援助。,9747,5757,3584,2249
NULL, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,9943,6045,2875,2474
NULL, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,7963,7642,3187,2545
NULL, 应当允许媒体代表某一特定阶层或利益集团发言。,7867,7323,1443,4704
NULL, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,7434,6908,4924,2071
NULL, 条件允许的话应该武力统一台湾。,6269,8994,3308,2766
NULL, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,7569,5494,5121,3153
NULL, 应该允许中国公民同时具有外国国籍。,4476,11989,1299,3573
NULL, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,4486,10290,2617,3944
NULL, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,10164,3666,6582,925
NULL, 最低工资应由国家规定。,5350,9254,2596,4137
NULL, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,9828,7696,1901,1912
NULL, 在重大工程项目的决策中，个人利益应该为社会利益让路。,9906,7170,1431,2830
NULL, 浪费粮食也是个人的自由。,4914,9722,1639,5062
NULL, 如果猪肉价格过高，政府应当干预。,9760,4991,4192,2394
NULL, 应当对国外同类产品征收高额关税来保护国内民族工业。,6601,9110,863,4763
NULL, 教育应当尽可能公立。,6902,10896,1249,2290
NULL, 国有企业的利益属于国家利益。,9541,7316,3135,1345
NULL, 试图控制房地产价格的行为会破坏经济发展。,5469,10490,1434,3944
NULL, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,4104,8640,3640,4953
NULL, 有钱人理应获得更好的医疗服务。,5380,11096,1685,3176
NULL, 高收入者应该公开自己的经济来源。,5898,9126,3801,2512
NULL, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,10908,5281,3260,1888
NULL, 与其让国有企业亏损破产，不如转卖给资本家。,6658,7934,1004,5741
NULL, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,14176,2753,3860,548
NULL, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,7032,9875,1810,2620
NULL, 私人应当可以拥有和买卖土地。,8282,8958,2536,1561
NULL, 政府应当采用较高的粮食收购价格以增加农民收入。,11803,5115,2922,1497
NULL, 在华外国资本应享受和民族资本同样的待遇。,5038,9778,973,5548
NULL, 市场竞争中自然形成的垄断地位是无害的。,8814,8263,2012,2248
NULL, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7752,8108,1289,4188
NULL, 不应公开谈论自己长辈的缺点。,7037,8601,3793,1906
NULL, 现代中国社会需要儒家思想。,3323,11899,1629,4486
NULL, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,10943,6045,2092,2257
NULL, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,4814,11504,641,4378
NULL, 周易八卦能够有效的解释很多事情。,8033,7455,3671,2178
NULL, 中国传统医学对人体健康的观念比现代主流医学更高明。,10831,6948,2474,1084
NULL, 汉字无需人为推行简化。,4778,11121,1385,4053
NULL, 应当将中国传统文化的经典作品作为儿童基础教育读物。,10306,8484,1730,817
NULL, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,10442,7843,1865,1187
M,如果人民没有受过民主教育，他们是不应该拥有普选权的。,8177,8047,2185,2928
M, 人权高于主权。,8523,6473,4264,2077
M, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,6057,8765,2762,3753
M, 西方的多党制不适合中国国情。,6856,9181,1777,3523
M, 在中国照搬西方式的言论自由会导致社会失序。,7642,8141,2374,3180
M, 由高校自主考试招生比全国统一考试招生更好。,6710,8326,3026,3275
M, 应该容许宗教人士在非宗教场所公开传教。,7278,8910,1043,4106
M, 无论中小学生或大学生，都应参加由国家统一安排的军训。,7920,6544,3034,3839
M, 国家的统一和领土完整是社会的最高利益。,7076,6338,5871,2052
M, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,11304,6857,1706,1470
M, 国家有义务进行对外援助。,9747,5757,3584,2249
M, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,9943,6045,2875,2474
M, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,7963,7642,3187,2545
M, 应当允许媒体代表某一特定阶层或利益集团发言。,7867,7323,1443,4704
M, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,7434,6908,4924,2071
M, 条件允许的话应该武力统一台湾。,6269,8994,3308,2766
M, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,7569,5494,5121,3153
M, 应该允许中国公民同时具有外国国籍。,4476,11989,1299,3573
M, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,4486,10290,2617,3944
M, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,10164,3666,6582,925
M, 最低工资应由国家规定。,5350,9254,2596,4137
M, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,9828,7696,1901,1912
M, 在重大工程项目的决策中，个人利益应该为社会利益让路。,9906,7170,1431,2830
M, 浪费粮食也是个人的自由。,4914,9722,1639,5062
M, 如果猪肉价格过高，政府应当干预。,9760,4991,4192,2394
M, 应当对国外同类产品征收高额关税来保护国内民族工业。,6601,9110,863,4763
M, 教育应当尽可能公立。,6902,10896,1249,2290
M, 国有企业的利益属于国家利益。,9541,7316,3135,1345
M, 试图控制房地产价格的行为会破坏经济发展。,5469,10490,1434,3944
M, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,4104,8640,3640,4953
M, 有钱人理应获得更好的医疗服务。,5380,11096,1685,3176
M, 高收入者应该公开自己的经济来源。,5898,9126,3801,2512
M, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,10908,5281,3260,1888
M, 与其让国有企业亏损破产，不如转卖给资本家。,6658,7934,1004,5741
M, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,14176,2753,3860,548
M, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,7032,9875,1810,2620
M, 私人应当可以拥有和买卖土地。,8282,8958,2536,1561
M, 政府应当采用较高的粮食收购价格以增加农民收入。,11803,5115,2922,1497
M, 在华外国资本应享受和民族资本同样的待遇。,5038,9778,973,5548
M, 市场竞争中自然形成的垄断地位是无害的。,8814,8263,2012,2248
M, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7752,8108,1289,4188
M, 不应公开谈论自己长辈的缺点。,7037,8601,3793,1906
M, 现代中国社会需要儒家思想。,3323,11899,1629,4486
M, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,10943,6045,2092,2257
M, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,4814,11504,641,4378
M, 周易八卦能够有效的解释很多事情。,8033,7455,3671,2178
