出生年份,问题,同意,反对,强烈同意,强烈反对
,如果人民没有受过民主教育，他们是不应该拥有普选权的。,182,204,44,55
, 人权高于主权。,207,140,90,48
, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,166,172,61,86
, 西方的多党制不适合中国国情。,166,226,27,66
, 在中国照搬西方式的言论自由会导致社会失序。,198,153,75,59
, 由高校自主考试招生比全国统一考试招生更好。,167,179,65,74
, 应该容许宗教人士在非宗教场所公开传教。,183,200,26,76
, 无论中小学生或大学生，都应参加由国家统一安排的军训。,162,141,74,108
, 国家的统一和领土完整是社会的最高利益。,152,160,121,52
, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,259,157,25,44
, 国家有义务进行对外援助。,206,127,76,76
, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,235,134,65,51
, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,151,199,63,72
, 应当允许媒体代表某一特定阶层或利益集团发言。,192,163,29,101
, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,180,132,124,49
, 条件允许的话应该武力统一台湾。,151,215,65,54
, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,172,141,105,67
, 应该允许中国公民同时具有外国国籍。,130,254,35,66
, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,83,248,59,95
, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,241,86,136,22
, 最低工资应由国家规定。,121,223,51,90
, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,233,175,47,30
, 在重大工程项目的决策中，个人利益应该为社会利益让路。,264,138,30,53
, 浪费粮食也是个人的自由。,104,230,35,116
, 如果猪肉价格过高，政府应当干预。,197,135,70,83
, 应当对国外同类产品征收高额关税来保护国内民族工业。,169,199,33,84
, 教育应当尽可能公立。,144,250,33,58
, 国有企业的利益属于国家利益。,217,161,68,39
, 试图控制房地产价格的行为会破坏经济发展。,107,250,18,110
, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,87,219,76,103
, 有钱人理应获得更好的医疗服务。,152,239,42,52
, 高收入者应该公开自己的经济来源。,120,240,69,56
, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,241,148,53,43
, 与其让国有企业亏损破产，不如转卖给资本家。,179,173,27,106
, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,299,91,75,20
, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,154,227,38,66
, 私人应当可以拥有和买卖土地。,204,180,66,35
, 政府应当采用较高的粮食收购价格以增加农民收入。,276,117,54,38
, 在华外国资本应享受和民族资本同样的待遇。,146,207,22,110
, 市场竞争中自然形成的垄断地位是无害的。,223,173,52,37
, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,196,185,40,64
, 不应公开谈论自己长辈的缺点。,148,219,67,51
, 现代中国社会需要儒家思想。,69,286,30,100
, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,263,139,44,39
, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,119,266,21,79
, 周易八卦能够有效的解释很多事情。,172,185,86,42
, 中国传统医学对人体健康的观念比现代主流医学更高明。,238,169,52,26
, 汉字无需人为推行简化。,105,257,28,95
, 应当将中国传统文化的经典作品作为儿童基础教育读物。,223,200,37,25
, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,225,185,47,28
1974,如果人民没有受过民主教育，他们是不应该拥有普选权的。,202,311,52,177
1974, 人权高于主权。,264,220,174,84
